PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
08989,1147548,8.381255,1.075644,-2.361753,-0.312412,0.029651,-0.022856,-0.543956,-0.128857,0.353619,153.904010,-84.992225,-143.717316
08990,1147648,8.314588,1.173714,-2.257703,-0.347522,0.015344,-0.024209,-0.541864,-0.130119,0.348045,153.505789,-84.994007,-143.516540
08991,1147748,8.354957,1.174176,-2.205345,-0.373607,0.023763,-0.024281,-0.543340,-0.135503,0.346266,153.067167,-84.999923,-143.290323
08992,1147848,8.527472,1.053656,-2.229698,-0.390803,0.041850,-0.015840,-0.544764,-0.137778,0.342140,152.612814,-85.017085,-143.058306
08993,1147948,8.690397,0.985721,-2.266952,-0.404257,0.058896,-0.007923,-0.546278,-0.138301,0.343114,152.142353,-85.044814,-142.817957
08994,1148048,8.923753,0.901944,-2.223394,-0.417078,0.079490,-0.002796,-0.545704,-0.142576,0.338387,151.625867,-85.084128,-142.538876
08995,1148148,9.182905,0.871660,-2.181369,-0.421371,0.106065,-0.005139,-0.545664,-0.145943,0.335710,151.000675,-85.135890,-142.153254
08996,1148248,9.441458,0.975909,-2.178287,-0.420333,0.126167,-0.012674,-0.547636,-0.150323,0.333982,150.253165,-85.195149,-141.644394
08997,1148348,9.609247,1.083581,-2.112899,-0.414857,0.130729,-0.030073,-0.548091,-0.152188,0.331381,149.373880,-85.251017,-141.000283
08998,1148448,9.795347,1.152774,-2.010021,-0.407074,0.119557,-0.052588,-0.549502,-0.157404,0.326103,148.387938,-85.293834,-140.244815
08999,1148548,9.968650,1.135317,-1.765959,-0.383007,0.103320,-0.077560,-0.549423,-0.159678,0.321478,147.313755,-85.320016,-139.387095
09000,1148648,10.056783,1.054676,-1.495382,-0.357389,0.092684,-0.096928,-0.547399,-0.162603,0.319327,146.171953,-85.333639,-138.446899
09001,1148748,10.132382,0.890490,-1.346222,-0.351729,0.093444,-0.109305,-0.553848,-0.163424,0.317774,144.953237,-85.342018,-137.426348
09002,1148848,10.119284,0.734601,-1.063671,-0.331511,0.092082,-0.109879,-0.550785,-0.168736,0.312998,143.744958,-85.347806,-136.404688
09003,1148948,9.996336,0.678732,-0.867498,-0.326030,0.094740,-0.097790,-0.553279,-0.170689,0.312895,142.593897,-85.357253,-135.437320
09004,1149048,9.812042,0.659084,-0.686673,-0.323881,0.096995,-0.084965,-0.555207,-0.170489,0.309396,141.501266,-85.370701,-134.527376
09005,1149148,9.619277,0.718449,-0.501027,-0.336013,0.109294,-0.070800,-0.553193,-0.174434,0.307694,140.418223,-85.393334,-133.634070
09006,1149248,9.406852,0.793103,-0.381401,-0.334780,0.121705,-0.061223,-0.552656,-0.173349,0.305746,139.320684,-85.423568,-132.725575
09007,1149348,9.186816,0.839550,-0.371699,-0.323581,0.125085,-0.056169,-0.552617,-0.177713,0.303018,138.227536,-85.455771,-131.815121
09008,1149448,9.053606,0.800793,-0.485452,-0.319962,0.110756,-0.044019,-0.556009,-0.176420,0.298070,137.257813,-85.485268,-131.026470
09009,1149548,8.907810,0.725412,-0.507061,-0.313878,0.074638,-0.030193,-0.553542,-0.178999,0.298943,136.534783,-85.504143,-130.481833
09010,1149648,8.849030,0.588433,-0.453068,-0.307790,0.046090,-0.013491,-0.555489,-0.179843,0.296393,136.042864,-85.517352,-130.165543
