PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
03745,475938,7.442630,1.000325,-0.950863,-0.534756,-0.170985,0.023975,-0.551454,-0.237688,0.231318,31.645352,-86.366440,-22.980719
03746,476038,7.693068,1.050669,-0.670854,-0.501542,-0.131459,0.024262,-0.554904,-0.242993,0.228539,31.802476,-86.436989,-23.425938
03747,476138,8.204569,1.073933,-0.439795,-0.438143,-0.087327,0.020394,-0.557873,-0.247358,0.226810,31.820323,-86.484851,-23.695166
03748,476238,8.746288,0.951148,-0.283554,-0.368688,-0.046150,0.010841,-0.560265,-0.254503,0.220431,31.753638,-86.509793,-23.839804
03749,476338,9.213018,0.779720,-0.156623,-0.312030,-0.012416,-0.005196,-0.565232,-0.256866,0.219302,31.681226,-86.513483,-23.946164
03750,476438,9.653195,0.633069,0.013410,-0.277479,0.021805,-0.017673,-0.569704,-0.261231,0.218073,31.559782,-86.496748,-23.983557
03751,476538,9.952307,0.496183,0.118593,-0.251881,0.062530,-0.033451,-0.571613,-0.260983,0.213574,31.380889,-86.455406,-23.948693
03752,476638,10.102792,0.446952,0.022217,-0.228744,0.092505,-0.046462,-0.578007,-0.267116,0.208244,31.177291,-86.395519,-23.875786
03753,476738,10.126776,0.527937,-0.084168,-0.207186,0.098820,-0.057193,-0.577532,-0.270162,0.209091,31.043603,-86.329357,-23.860543
03754,476838,10.003809,0.664189,-0.123427,-0.193564,0.077567,-0.056717,-0.583432,-0.272840,0.204438,31.013105,-86.273780,-23.940873
03755,476938,9.843734,0.792846,-0.036119,-0.194727,0.041654,-0.049434,-0.585879,-0.274673,0.201837,31.088372,-86.237991,-24.127854
03756,477038,9.692431,0.800615,0.093799,-0.201591,0.011034,-0.035865,-0.590881,-0.275638,0.202784,31.194427,-86.221228,-24.349624
03757,477138,9.436958,0.780514,0.198771,-0.210980,-0.013492,-0.019030,-0.593363,-0.276073,0.202258,31.279820,-86.221465,-24.556068
03758,477238,9.186600,0.707627,0.380459,-0.214392,-0.033724,0.001601,-0.595312,-0.277914,0.199657,31.301930,-86.237740,-24.701038
03759,477338,9.023575,0.666334,0.625960,-0.214113,-0.042972,0.024989,-0.598827,-0.277930,0.201155,31.192041,-86.265506,-24.713551
03760,477438,8.978556,0.630852,0.789402,-0.216711,-0.038817,0.043275,-0.600757,-0.274267,0.198334,30.922447,-86.296643,-24.567502
03761,477538,8.947636,0.595913,0.866091,-0.219486,-0.010289,0.057277,-0.606751,-0.278182,0.198629,30.410918,-86.317747,-24.180603
03762,477638,8.927169,0.594532,0.931261,-0.212903,0.027520,0.063554,-0.606179,-0.277997,0.194630,29.681338,-86.321630,-23.571418
03763,477738,8.981502,0.667080,0.889667,-0.219363,0.071553,0.069716,-0.608681,-0.279476,0.195053,28.709583,-86.304631,-22.723250
03764,477838,8.918558,0.656607,0.810544,-0.231930,0.097219,0.073331,-0.610098,-0.277765,0.191130,27.605801,-86.274662,-21.749958
03765,477938,8.995170,0.654965,0.907992,-0.224173,0.096340,0.078314,-0.616033,-0.274585,0.189282,26.487961,-86.245227,-20.758080
03766,478038,9.127960,0.653430,0.925756,-0.217327,0.102435,0.086658,-0.617026,-0.277534,0.188629,25.302957,-86.213448,-19.694917
03767,478138,9.093940,0.678281,0.842925,-0.214865,0.094848,0.088745,-0.619475,-0.275405,0.186731,24.148946,-86.184701,-18.661352
03768,478238,9.026733,0.717224,0.786629,-0.210356,0.066871,0.093546,-0.619475,-0.275405,0.186731,23.070411,-86.170422,-17.700806
03769,478338,8.866224,0.754625,0.811888,-0.211964,0.021706,0.094908,-0.623442,-0.275294,0.185730,22.133658,-86.179215,-16.883266
03770,478438,8.780948,0.755105,0.867131,-0.211853,-0.028552,0.098741,-0.625434,-0.275262,0.185730,21.320078,-86.214743,-16.189116
03771,478538,8.729215,0.753048,0.991097,-0.208239,-0.067278,0.102860,-0.625904,-0.274684,0.184255,20.580178,-86.271213,-15.566754
03772,478638,8.765736,0.720489,1.181408,-0.199573,-0.082817,0.105672,-0.628864,-0.274066,0.182780,19.848165,-86.336067,-14.947349
03773,478738,8.907808,0.680806,1.321477,-0.187961,-0.070532,0.109482,-0.629379,-0.273608,0.183805,19.029344,-86.394464,-14.234326
03774,478838,9.057409,0.646395,1.450752,-0.172111,-0.033571,0.112054,-0.632830,-0.273955,0.181779,18.065908,-86.432541,-13.367333
03775,478938,9.072645,0.635760,1.391116,-0.147840,0.010016,0.115324,-0.631333,-0.272982,0.181831,16.949718,-86.446374,-12.333370
03776,479038,8.992131,0.633933,1.331128,-0.114750,0.034443,0.117162,-0.633295,-0.271384,0.180407,15.766651,-86.445784,-11.213403
03777,479138,8.913906,0.637042,1.377443,-0.081704,0.035118,0.118594,-0.636281,-0.269841,0.180482,14.589106,-86.443607,-10.079986
03778,479238,8.990207,0.628330,1.530753,-0.048656,0.028238,0.120182,-0.635251,-0.271255,0.178407,13.432963,-86.444043,-8.949029
03779,479338,9.101804,0.651905,1.607374,-0.027651,0.029782,0.126161,-0.634232,-0.268732,0.177535,12.232247,-86.442934,-7.761342
03780,479438,9.215589,0.689895,1.630957,-0.020634,0.023168,0.130478,-0.636753,-0.270259,0.178957,11.009534,-86.444475,-6.547578
03781,479538,9.186341,0.741767,1.585609,-0.026212,0.024481,0.137210,-0.635233,-0.266747,0.178136,9.720014,-86.444320,-5.270067
03782,479638,9.098958,0.755455,1.508095,-0.034508,0.041311,0.142947,-0.637187,-0.265623,0.176187,8.351775,-86.433321,-3.918429
03783,479738,9.059895,0.687764,1.439540,-0.042599,0.062758,0.149481,-0.639185,-0.268581,0.176034,6.905080,-86.408582,-2.492789
03784,479838,9.142079,0.574894,1.342320,-0.052754,0.095089,0.156669,-0.638713,-0.267664,0.177584,5.380818,-86.363571,-0.995196
03785,479938,9.173410,0.526549,1.461476,-0.065739,0.120804,0.162614,-0.640183,-0.264603,0.176737,3.819070,-86.301624,0.532602
03786,480038,9.209214,0.569376,1.630341,-0.086844,0.134355,0.163882,-0.641660,-0.265029,0.175711,2.281546,-86.229343,2.024131
03787,480138,9.249809,0.649398,1.817539,-0.121853,0.140412,0.163766,-0.641593,-0.263864,0.172263,0.782416,-86.151043,3.457217
03788,480238,9.404289,0.699552,2.019566,-0.162865,0.145451,0.166726,-0.642060,-0.262290,0.170840,-0.704778,-86.067400,4.854936
03789,480338,9.582048,0.765604,2.178015,-0.196446,0.167192,0.166076,-0.642532,-0.263206,0.169289,-2.138275,-85.968920,6.179707
03790,480438,9.749606,0.895215,2.286495,-0.217431,0.213795,0.161531,-0.648952,-0.262959,0.166289,-3.459162,-85.841710,7.379727
03791,480538,9.894567,0.993241,2.324511,-0.229526,0.271123,0.154092,-0.648934,-0.262911,0.165289,-4.619937,-85.680206,8.412482
03792,480638,10.030782,0.999700,2.339318,-0.230363,0.317490,0.143219,-0.646868,-0.263746,0.161241,-5.589988,-85.491403,9.253721
03793,480738,10.208538,0.876832,2.411940,-0.218761,0.345037,0.129546,-0.648266,-0.261488,0.156344,-6.364655,-85.286754,9.905854
03794,480838,10.466320,0.646211,2.596353,-0.189409,0.359506,0.117326,-0.651230,-0.263362,0.154742,-6.971005,-85.074064,10.406155
03795,480938,10.669436,0.304651,2.769434,-0.136517,0.368303,0.110730,-0.652673,-0.260228,0.152395,-7.452961,-84.856455,10.812173
