time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
347628,0.037477,-0.026504,0.038012,1.012384124,-0.015270825,0.089968144,-0.130795,-0.066917,-0.348229,1016.55011
347728,0.057253,-0.027715,0.021282,1.006911031,-0.013720412,0.089930103,-0.127847,-0.069054,-0.346331,1016.55011
347828,0.079018,-0.046229,0.006086,1.01077567,-0.014798866,0.095447526,-0.12938,-0.070123,-0.344383,1016.55188
347928,0.104296,-0.066778,-0.001514,1.01854134,-0.019087216,0.106000309,-0.128868,-0.072574,-0.345509,1016.55188
348028,0.120459,-0.091862,-0.00633,1.012045464,-0.019023608,0.112978041,-0.130422,-0.074688,-0.342612,1016.55188
348128,0.127689,-0.110766,-0.011265,1.004389897,-0.023057732,0.117129175,-0.12751,-0.076423,-0.338689,1016.55188
348228,0.129967,-0.113866,-0.013414,0.989441134,-0.025847732,0.113746392,-0.128552,-0.080987,-0.336919,1016.55188
348328,0.13221,-0.110369,-0.015178,0.97099,-0.030378969,0.10714134,-0.129555,-0.079999,-0.336369,1016.55188
348428,0.132833,-0.105411,-0.013456,0.955231753,-0.033167113,0.101097835,-0.128586,-0.084547,-0.335597,1016.55188
348528,0.12603,-0.106387,-0.011684,0.945458763,-0.032655876,0.095582577,-0.129075,-0.084515,-0.336097,1016.55188
348628,0.117408,-0.117667,-0.009017,0.94078866,-0.029543814,0.091376082,-0.129561,-0.082988,-0.336521,1016.55188
348728,0.105987,-0.138103,-0.004616,0.944820412,-0.027983814,0.088723918,-0.131586,-0.08552,-0.335149,1016.55188
348828,0.09251,-0.167228,-0.002749,0.950399381,-0.026133918,0.093450619,-0.129065,-0.084491,-0.336597,1016.55188
348928,0.076134,-0.185327,-0.002639,0.965433918,-0.024838969,0.090850722,-0.130567,-0.083495,-0.336047,1016.55188
349028,0.064562,-0.196251,-0.001153,0.983875155,-0.025195155,0.102839691,-0.133996,-0.0818,-0.33897,1016.55188
349128,0.051083,-0.183839,-0.001271,0.997637113,-0.023830412,0.105899381,-0.137554,-0.080443,-0.334897,1016.55188
349228,0.030916,-0.170565,-0.008204,1.000547526,-0.024656907,0.106313608,-0.140464,-0.077712,-0.338769,1016.55188
349328,0.014151,-0.168724,-0.010645,1.001422268,-0.029900928,0.110820206,-0.146476,-0.076219,-0.336696,1016.55188
349428,0.00625,-0.166877,-0.014579,1.00603866,-0.034690722,0.124659588,-0.149968,-0.073696,-0.33607,1016.55188
349528,0.011848,-0.15052,-0.018745,1.011143196,-0.041479485,0.129279175,-0.150982,-0.073231,-0.335045,1016.55188
349628,0.015636,-0.129424,-0.0223,1.016894227,-0.043792062,0.131141134,-0.156008,-0.072275,-0.332497,1016.55188
349728,0.014455,-0.105215,-0.022402,1.019027629,-0.04725433,0.127819485,-0.156505,-0.071769,-0.332472,1016.55188
349828,0.00839,-0.095848,-0.020356,1.012538763,-0.042054227,0.127103093,-0.163518,-0.07325,-0.330551,1016.55188
349928,0.003666,-0.089999,-0.021907,1.004976495,-0.03928,0.131685258,-0.165579,-0.074881,-0.327129,1016.55188
350028,0.002445,-0.08548,-0.02693,1.002242784,-0.036743299,0.138903814,-0.166535,-0.073274,-0.329052,1016.55188
350128,-0.005648,-0.076021,-0.031766,0.999589794,-0.035514536,0.139105567,-0.167048,-0.070823,-0.327926,1016.55188
350228,-0.014119,-0.063536,-0.033741,0.997512371,-0.036511856,0.138123093,-0.16805,-0.074295,-0.328104,1016.55188
350328,-0.0191,-0.054945,-0.035974,0.992416598,-0.036628247,0.134178454,-0.166032,-0.075749,-0.329679,1016.55188
350428,-0.021938,-0.050522,-0.037537,0.991994639,-0.03486732,0.132396598,-0.1646,-0.074447,-0.326104,1016.55188
350528,-0.02465,-0.05183,-0.041399,0.990914536,-0.035898866,0.135552577,-0.166598,-0.077404,-0.326257,1016.55188
350628,-0.025072,-0.045323,-0.043783,0.98994866,-0.03760567,0.141193711,-0.165093,-0.076906,-0.326731,1016.55188
350728,-0.028208,-0.041333,-0.046013,0.988674227,-0.037020206,0.141410412,-0.163066,-0.077838,-0.32878,1016.55188
350828,-0.028018,-0.041614,-0.048865,0.98714866,-0.03559866,0.146517216,-0.165091,-0.075411,-0.326654,1016.55188
350928,-0.021853,-0.049379,-0.057669,0.982894536,-0.032055979,0.150514845,-0.165591,-0.0764,-0.326705,1016.55188
351028,-0.012929,-0.053105,-0.06664,0.981881237,-0.031066804,0.154349278,-0.164545,-0.074801,-0.329128,1016.549561
351128,-0.009202,-0.04515,-0.077724,0.982589175,-0.033549588,0.156071649,-0.162571,-0.074382,-0.328102,1016.549561
351228,-0.005749,-0.039021,-0.083723,0.980555773,-0.039102062,0.156901443,-0.164996,-0.074174,-0.331602,1016.549561
351328,-0.007871,-0.036583,-0.083739,0.980660619,-0.043909588,0.157988763,-0.162506,-0.074214,-0.331601,1016.549561
351428,-0.012828,-0.043104,-0.08178,0.979941856,-0.045426289,0.165530412,-0.162952,-0.071096,-0.333948,1016.549561
351528,-0.017796,-0.055433,-0.077759,0.976578351,-0.044155361,0.172071959,-0.162014,-0.072751,-0.331025,1016.549561
351628,-0.01827,-0.065203,-0.068931,0.977152268,-0.043466082,0.183113505,-0.162463,-0.071128,-0.333448,1016.549561
351728,-0.021936,-0.067241,-0.065788,0.979835464,-0.048118351,0.194536186,-0.163499,-0.072703,-0.331525,1016.549561
351828,-0.025917,-0.0638,-0.063404,0.981818763,-0.05315732,0.195108144,-0.162494,-0.073193,-0.33205,1016.549561
351928,-0.034295,-0.062319,-0.062136,0.977832062,-0.060128041,0.19403732,-0.163511,-0.074222,-0.331101,1016.549561
352028,-0.034636,-0.061927,-0.061897,0.977983814,-0.068452165,0.191111443,-0.161547,-0.074824,-0.329627,1016.549561
352128,-0.018949,-0.058801,-0.058247,0.976155258,-0.070325876,0.18354732,-0.162009,-0.075218,-0.331652,1016.549561
352228,-0.013486,-0.070441,-0.057827,0.970656598,-0.07465299,0.192663402,-0.164069,-0.07685,-0.32823,1016.549561
352328,-0.008267,-0.065069,-0.055843,0.978753402,-0.079051031,0.200832887,-0.161649,-0.080047,-0.324883,1016.549561
352428,0.003355,-0.057885,-0.052322,0.973202577,-0.076434639,0.209000722,-0.162642,-0.082996,-0.325535,1016.549561
