PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
07063,883128,10.331751,-0.337131,1.854631,0.103467,-0.229471,0.097374,-0.107466,-0.078832,-0.264635,-1.003767,-84.047695,2.329602
07064,883228,10.340176,-0.173773,1.908577,0.099026,-0.236624,0.088948,-0.109028,-0.079973,-0.261188,-1.462711,-84.182524,2.847471
07065,883328,10.313752,0.011096,1.986958,0.102277,-0.231629,0.078681,-0.108559,-0.081050,-0.259739,-1.882833,-84.314236,3.328084
07066,883428,10.198143,0.167423,2.023836,0.108271,-0.214567,0.062375,-0.105041,-0.079040,-0.261136,-2.220804,-84.436174,3.729520
07067,883528,10.021068,0.187753,2.020813,0.114610,-0.200672,0.043452,-0.100087,-0.078693,-0.259609,-2.454269,-84.550382,4.029564
07068,883628,9.794396,0.153287,1.974185,0.129084,-0.197944,0.031668,-0.100571,-0.081128,-0.260736,-2.617716,-84.663208,4.267578
07069,883728,9.540662,0.034360,1.901061,0.143653,-0.203034,0.022652,-0.100137,-0.080806,-0.257212,-2.726468,-84.779117,4.459020
07070,883828,9.294690,-0.084355,1.794461,0.149155,-0.213969,0.014712,-0.098609,-0.082727,-0.259312,-2.791446,-84.901459,4.609643
07071,883928,9.094664,-0.184192,1.735506,0.141550,-0.225522,0.013657,-0.099145,-0.083313,-0.257339,-2.863066,-85.030409,4.762529
07072,884028,9.016679,-0.251616,1.659678,0.120483,-0.228578,0.013045,-0.095117,-0.085249,-0.259938,-2.949862,-85.161092,4.918495
07073,884128,9.029018,-0.277256,1.683089,0.100804,-0.224342,0.018053,-0.094589,-0.084188,-0.261386,-3.088039,-85.289156,5.114666
07074,884228,9.043993,-0.318831,1.668121,0.081382,-0.214680,0.023639,-0.095584,-0.083176,-0.261336,-3.282765,-85.411452,5.356359
07075,884328,9.086224,-0.382572,1.693234,0.065595,-0.207395,0.028936,-0.092537,-0.081584,-0.264258,-3.534123,-85.529306,5.645731
07076,884428,9.102058,-0.463550,1.712312,0.047348,-0.206580,0.033140,-0.091973,-0.080925,-0.267731,-3.841952,-85.646409,5.981185
07077,884528,9.209122,-0.539606,1.763179,0.027486,-0.200170,0.032839,-0.088882,-0.075750,-0.272474,-4.173247,-85.759694,6.328680
07078,884628,9.259434,-0.574887,1.720510,0.006723,-0.190126,0.029337,-0.086308,-0.076071,-0.276997,-4.501345,-85.867223,6.660962
07079,884728,9.294040,-0.574451,1.682687,-0.011764,-0.185647,0.022486,-0.085734,-0.069433,-0.280165,-4.799294,-85.972360,6.952323
07080,884828,9.348737,-0.513477,1.646326,-0.028531,-0.190657,0.019714,-0.087632,-0.063206,-0.284359,-5.103508,-86.080366,7.240270
07081,884928,9.421431,-0.447657,1.707789,-0.040772,-0.195663,0.012113,-0.086149,-0.064250,-0.283910,-5.370632,-86.191505,7.483957
07082,885028,9.496007,-0.400324,1.818213,-0.043085,-0.194977,0.008452,-0.089507,-0.059896,-0.290205,-5.621627,-86.302357,7.710104
07083,885128,9.527220,-0.390432,1.829536,-0.036922,-0.188055,0.000715,-0.094446,-0.056731,-0.292053,-5.807099,-86.409625,7.874094
07084,885228,9.530790,-0.370603,1.811829,-0.026053,-0.178934,-0.007734,-0.097436,-0.057680,-0.292105,-5.909134,-86.512140,7.960695
07085,885328,9.544667,-0.394514,1.847968,-0.015089,-0.164800,-0.021489,-0.102388,-0.056533,-0.293555,-5.864085,-86.607382,7.906219
07086,885428,9.543650,-0.379072,1.861457,-0.004856,-0.152880,-0.038825,-0.105392,-0.055039,-0.292480,-5.627097,-86.696791,7.665341
