time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
471238,0.270482,-0.068663,-0.093291,0.972678265,-0.009990102,0.195697449,-0.567552,-0.117827,0.257453,1016.550781
471338,0.261029,-0.06696,-0.098854,0.962321224,-0.005195714,0.196646327,-0.567104,-0.114492,0.26063,1016.550781
471438,0.244429,-0.070394,-0.106302,0.955031633,-0.009011224,0.187152143,-0.568095,-0.116944,0.260003,1016.545044
471538,0.242685,-0.073503,-0.107636,0.953616939,-0.016661224,0.180939592,-0.569562,-0.116848,0.258503,1016.545044
471638,0.243924,-0.075301,-0.118446,0.950260816,-0.003085306,0.17127398,-0.563659,-0.117135,0.262504,1016.545044
471738,0.238976,-0.075377,-0.132629,0.950774796,-0.008458776,0.170666735,-0.565114,-0.120977,0.259801,1016.545044
471838,0.227624,-0.063582,-0.141474,0.951697551,-0.003207347,0.17658102,-0.565193,-0.124159,0.263647,1016.545044
471938,0.207242,-0.050509,-0.150258,0.954008163,-0.002172449,0.186331837,-0.560179,-0.121176,0.262301,1016.545044
472038,0.175251,-0.046728,-0.15629,0.950634388,-0.016527143,0.186752041,-0.560697,-0.122213,0.26325,1016.545044
472138,0.150304,-0.05725,-0.150711,0.950398265,-0.007608878,0.198319796,-0.558149,-0.12607,0.259549,1016.545044
472238,0.124249,-0.061991,-0.170353,0.962763367,0.007853061,0.21756551,-0.558185,-0.130626,0.26082,1016.545044
472338,0.082158,-0.049494,-0.18195,0.9685,0.005273367,0.222902449,-0.558173,-0.129606,0.260371,1016.545044
472438,0.05231,-0.045306,-0.191861,0.967968673,0.003410612,0.229799796,-0.554207,-0.134675,0.260618,1016.545044
472538,0.034342,-0.04,-0.19478,0.976862041,0.008026224,0.237928776,-0.554679,-0.135591,0.259067,1016.545044
472638,0.012433,-0.024801,-0.186826,0.989601939,-0.012592857,0.239106837,-0.551696,-0.139127,0.25889,1016.545044
472738,-0.004159,-0.016874,-0.18836,0.991856327,0.03040398,0.250460816,-0.549712,-0.14414,0.258637,1016.545044
472838,-0.021341,-0.005917,-0.210473,0.996322347,0.040213265,0.265924592,-0.545694,-0.1461,0.256537,1016.545044
472938,-0.04623,-0.005543,-0.221876,0.991585918,0.039352041,0.274693776,-0.543226,-0.148679,0.257411,1016.545044
473038,-0.085246,-0.011807,-0.22971,0.986767857,0.023015102,0.273643061,-0.54225,-0.154698,0.257606,1016.545044
473138,-0.114337,-0.015444,-0.236991,0.983513776,0.003951327,0.270676939,-0.540249,-0.160161,0.256328,1016.545044
473238,-0.125282,0.002328,-0.242173,0.987383469,-0.017605204,0.260792857,-0.536235,-0.159654,0.254855,1016.545044
473338,-0.123155,0.027873,-0.239611,0.989149694,-0.035803163,0.237915408,-0.531724,-0.16511,0.252578,1016.545044
473438,-0.110568,0.059189,-0.238708,0.997990714,-0.050692959,0.226947041,-0.528217,-0.169577,0.250851,1016.545044
473538,-0.09874,0.096103,-0.23457,1.021250408,-0.041752551,0.232611633,-0.526278,-0.173216,0.253173,1016.545044
473638,-0.10385,0.140177,-0.226356,1.062887653,-0.035622959,0.239640408,-0.522722,-0.176567,0.248997,1016.545044
473738,-0.135759,0.177542,-0.211592,1.096236122,-0.039007551,0.221018163,-0.522229,-0.184522,0.248091,1016.545044
