time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
883328,0.102277,-0.231629,0.078681,1.052423673,0.001132245,0.202750816,-0.108559,-0.08105,-0.259739,1016.55011
883428,0.108271,-0.214567,0.062375,1.040626837,0.01708398,0.206513878,-0.105041,-0.07904,-0.261136,1016.55011
883528,0.11461,-0.200672,0.043452,1.022557959,0.019158469,0.206205408,-0.100087,-0.078693,-0.259609,1016.55011
883628,0.129084,-0.197944,0.031668,0.999428163,0.015641531,0.201447449,-0.100571,-0.081128,-0.260736,1016.55011
883728,0.143653,-0.203034,0.022652,0.973536939,0.003506122,0.193985816,-0.100137,-0.080806,-0.257212,1016.55011
883828,0.149155,-0.213969,0.014712,0.948437755,-0.008607653,0.183108265,-0.098609,-0.082727,-0.259312,1016.55011
883928,0.14155,-0.225522,0.013657,0.928026939,-0.018795102,0.177092449,-0.099145,-0.083313,-0.257339,1016.55011
884028,0.120483,-0.228578,0.013045,0.920069286,-0.025675102,0.169354898,-0.095117,-0.085249,-0.259938,1016.55011
884128,0.100804,-0.224342,0.018053,0.921328367,-0.028291429,0.171743776,-0.094589,-0.084188,-0.261386,1016.55188
884228,0.081382,-0.21468,0.023639,0.922856429,-0.032533776,0.170216429,-0.095584,-0.083176,-0.261336,1016.55188
884328,0.065595,-0.207395,0.028936,0.927165714,-0.039037959,0.17277898,-0.092537,-0.081584,-0.264258,1016.55188
884428,0.047348,-0.20658,0.03314,0.928781429,-0.04730102,0.174725714,-0.091973,-0.080925,-0.267731,1016.55188
884528,0.027486,-0.20017,0.032839,0.939706327,-0.055061837,0.179916224,-0.088882,-0.07575,-0.272474,1016.55188
884628,0.006723,-0.190126,0.029337,0.944840204,-0.058661939,0.175562245,-0.086308,-0.076071,-0.276997,1016.55188
884728,-0.011764,-0.185647,0.022486,0.948371429,-0.058617449,0.171702755,-0.085734,-0.069433,-0.280165,1016.55188
884828,-0.028531,-0.190657,0.019714,0.953952755,-0.052395612,0.167992449,-0.087632,-0.063206,-0.284359,1016.55188
884928,-0.040772,-0.195663,0.012113,0.96137051,-0.045679286,0.174264184,-0.086149,-0.06425,-0.28391,1016.55188
885028,-0.043085,-0.194977,0.008452,0.968980306,-0.040849388,0.185531939,-0.089507,-0.059896,-0.290205,1016.55188
885128,-0.036922,-0.188055,0.000715,0.972165306,-0.03984,0.186687347,-0.094446,-0.056731,-0.292053,1016.55188
885228,-0.026053,-0.178934,-0.007734,0.972529592,-0.037816633,0.18488051,-0.097436,-0.05768,-0.292105,1016.55188
885328,-0.015089,-0.1648,-0.021489,0.973945612,-0.040256531,0.188568163,-0.102388,-0.056533,-0.293555,1016.55188
885428,-0.004856,-0.15288,-0.038825,0.973841837,-0.038680816,0.189944592,-0.105392,-0.055039,-0.29248,1016.55188
885528,-0.001805,-0.15038,-0.055934,0.976969184,-0.041734592,0.195526224,-0.109876,-0.054967,-0.292482,1016.55188
885628,0.000133,-0.146676,-0.072782,0.984213367,-0.042526633,0.204071939,-0.114344,-0.057339,-0.29361,1016.55188
885728,0.011986,-0.129583,-0.08486,0.993482347,-0.036395612,0.207460306,-0.117307,-0.05276,-0.294382,1016.55188
885828,0.009015,-0.114119,-0.098099,0.986745102,-0.032216122,0.209227959,-0.117291,-0.054704,-0.295483,1016.55188
885928,-0.007797,-0.106622,-0.105555,0.979226122,-0.034035714,0.204537347,-0.118737,-0.053066,-0.297906,1016.55188
886028,-0.022396,-0.101116,-0.109747,0.961932245,-0.034925714,0.214484898,-0.12074,-0.054054,-0.297457,1016.55188
886128,-0.030093,-0.102378,-0.110773,0.953445612,-0.032313367,0.209034388,-0.119131,-0.051796,-0.303353,1016.55188
886228,-0.040434,-0.101199,-0.110561,0.951512755,-0.032663776,0.214884184,-0.118647,-0.04986,-0.302252,1016.55188
886328,-0.037194,-0.094638,-0.109734,0.951471939,-0.026565918,0.212691633,-0.116052,-0.048139,-0.307673,1016.55188
886428,-0.032285,-0.090309,-0.111517,0.949278265,-0.026077449,0.20303551,-0.113972,-0.045961,-0.312069,1016.55188
886528,-0.020017,-0.098876,-0.115307,0.948686429,-0.029581735,0.203614898,-0.108951,-0.044449,-0.31399,1016.55188
886628,-0.009064,-0.110176,-0.120119,0.946493878,-0.038910102,0.218702143,-0.113344,-0.040674,-0.318312,1016.55188
886728,-0.003304,-0.119855,-0.124632,0.946741735,-0.047932041,0.227097347,-0.110301,-0.036117,-0.320581,1016.55188
886828,-0.007797,-0.129692,-0.126825,0.943525816,-0.055142857,0.228755102,-0.10823,-0.033963,-0.324477,1016.55188
886928,-0.015652,-0.123591,-0.122692,0.944511633,-0.055132449,0.228885102,-0.110159,-0.029303,-0.327248,1016.55188
887028,-0.02467,-0.107132,-0.118743,0.939088469,-0.052889286,0.223886735,-0.104643,-0.029792,-0.329271,1016.55188
887128,-0.032029,-0.09102,-0.113289,0.925347041,-0.049864796,0.21545949,-0.104598,-0.025211,-0.331042,1016.55188
887228,-0.038629,-0.085755,-0.110191,0.912438061,-0.050599184,0.207731122,-0.102487,-0.026424,-0.337615,1016.55188
887328,-0.042889,-0.096208,-0.109475,0.909860612,-0.050532041,0.212341837,-0.102979,-0.017473,-0.336658,1016.549561
887428,-0.04204,-0.124585,-0.111714,0.913270918,-0.055461633,0.224976837,-0.100384,-0.021707,-0.342884,1016.549561
887528,-0.037147,-0.143721,-0.115579,0.926859286,-0.061320918,0.239917347,-0.101359,-0.020148,-0.343807,1016.549561
887628,-0.029933,-0.151371,-0.117028,0.939062449,-0.063407959,0.249752551,-0.104339,-0.015119,-0.343554,1016.549561
887728,-0.02978,-0.144574,-0.115247,0.948601327,-0.064750816,0.251535714,-0.102745,-0.016372,-0.349128,1016.549561
887828,-0.035839,-0.129857,-0.110132,0.960099694,-0.062093265,0.253392653,-0.104286,-0.016469,-0.346629,1016.549561
887928,-0.047994,-0.119429,-0.102677,0.973509694,-0.059977347,0.259110816,-0.101213,-0.016299,-0.351126,1016.549561
888028,-0.063851,-0.098909,-0.096796,0.998564082,-0.058373163,0.269662551,-0.101285,-0.014499,-0.347026,1016.549561
888128,-0.072282,-0.082545,-0.094731,1.031178163,-0.060382245,0.291582449,-0.10022,-0.01781,-0.351202,1016.549561
888228,-0.0734,-0.055226,-0.095842,1.072023469,-0.062189898,0.304889082,-0.098246,-0.017889,-0.350202,1016.549561
888328,-0.061443,-0.033094,-0.103654,1.103971735,-0.067948571,0.315427245,-0.097271,-0.019448,-0.349278,1016.549561
888428,-0.05299,-0.010443,-0.111779,1.130316327,-0.075102347,0.322475204,-0.093325,-0.025563,-0.348083,1016.549561
888528,-0.046095,0.022536,-0.11769,1.14877398,-0.081819184,0.329513776,-0.090416,-0.02929,-0.344261,1016.549561
888628,-0.048422,0.068447,-0.121968,1.162452347,-0.081087143,0.330276429,-0.084495,-0.034986,-0.34204,1016.549561
888728,-0.05964,0.106912,-0.129216,1.164557959,-0.072728673,0.323252245,-0.079593,-0.042707,-0.338921,1016.549561
888828,-0.076256,0.1253,-0.137977,1.166786633,-0.060588673,0.326650918,-0.069235,-0.048594,-0.334198,1016.549561
888928,-0.093948,0.134075,-0.150812,1.174026429,-0.045354898,0.338154082,-0.06387,-0.055423,-0.329029,1016.549561
889028,-0.118886,0.167169,-0.17488,1.213342245,-0.02562949,0.336991327,-0.05453,-0.063336,-0.32341,1016.549561
889128,-0.13699,0.21854,-0.202139,1.255265816,-0.018321939,0.317529286,-0.043713,-0.075282,-0.317493,1016.549561
889228,-0.141849,0.242997,-0.212411,1.280101327,-0.016562755,0.26823449,-0.035428,-0.08432,-0.308926,1016.549561
889328,-0.111312,0.231527,-0.211706,1.272805102,-0.029330918,0.222200816,-0.028213,-0.098493,-0.297115,1016.549561
889428,-0.04442,0.234837,-0.214381,1.280566224,-0.045337449,0.177414796,-0.020534,-0.111275,-0.283228,1016.549561
889528,0.052342,0.2509,-0.23177,1.30695398,-0.057715,0.123322041,-0.017935,-0.127208,-0.264496,1016.549561
889628,0.147559,0.226095,-0.243369,1.288807449,-0.047779898,0.045033571,-0.021351,-0.1486,-0.244547,1016.549561
889728,0.195454,0.134542,-0.237778,1.219243265,-0.023991122,-0.064570408,-0.026262,-0.165009,-0.223844,1016.549561
889828,0.198246,0.006471,-0.223993,1.142561531,0.01495898,-0.137995918,-0.035578,-0.179162,-0.20704,1016.549561
889928,0.172908,-0.104449,-0.209735,1.076575102,0.074643061,-0.156417551,-0.048335,-0.188679,-0.192007,1016.549561
890028,0.120114,-0.20445,-0.202979,1.019636633,0.144496327,-0.134000408,-0.060036,-0.200535,-0.180599,1016.549561
890128,0.024893,-0.274846,-0.197637,0.981186633,0.20304602,-0.083798571,-0.066184,-0.207824,-0.17246,1016.549561
890228,-0.093774,-0.276918,-0.179967,0.968029388,0.245513061,-0.025636224,-0.068772,-0.210517,-0.16759,1016.549561
890328,-0.216844,-0.227404,-0.149132,0.946979082,0.267621633,-0.024949694,-0.072256,-0.208967,-0.167515,1016.549561
890428,-0.322674,-0.181231,-0.12285,0.917339898,0.277612347,-0.066010714,-0.06774,-0.205976,-0.168861,1016.549561
890528,-0.404663,-0.141074,-0.102806,0.887001633,0.267247653,-0.110976122,-0.062703,-0.200953,-0.171104,1016.549561
890628,-0.447951,-0.100513,-0.0882,0.881401429,0.242764286,-0.144077857,-0.057046,-0.189669,-0.17904,1016.549561
890728,-0.453505,-0.064175,-0.076994,0.904286327,0.205304388,-0.173261939,-0.051328,-0.180709,-0.190602,1016.549561
890828,-0.435217,-0.075005,-0.070863,0.936766327,0.161167449,-0.196066939,-0.045173,-0.169433,-0.198538,1016.549561
890928,-0.383029,-0.131675,-0.073904,0.977744286,0.127115,-0.193399286,-0.040949,-0.154992,-0.209321,1016.549561
891028,-0.304689,-0.191913,-0.089449,1.016064082,0.109877245,-0.165573878,-0.043698,-0.139942,-0.22008,1016.549561
891128,-0.251399,-0.219572,-0.096685,1.040314694,0.096608367,-0.119399796,-0.047465,-0.126419,-0.229917,1016.549561
891228,-0.213981,-0.215635,-0.091614,1.063338265,0.08557398,-0.072875306,-0.051707,-0.110847,-0.240652,1016.549561
891328,-0.178662,-0.198508,-0.069603,1.06169102,0.077467041,-0.024711122,-0.05896,-0.097269,-0.250489,1016.549561
891428,-0.156742,-0.184419,-0.039429,1.043847857,0.080631224,-0.00820898,-0.065844,-0.088495,-0.254058,1016.549561
891528,-0.147922,-0.188235,-0.005925,1.017897449,0.086416939,0.002438878,-0.073172,-0.080068,-0.260652,1016.549561
891628,-0.152557,-0.194596,0.033105,0.99201398,0.093247143,0.020279082,-0.083022,-0.074165,-0.265873,1016.549561
891728,-0.163705,-0.201548,0.06424,0.957904898,0.09618398,0.035516224,-0.088974,-0.065078,-0.265917,1016.549561
891828,-0.182762,-0.206604,0.093138,0.930902347,0.104020714,0.05783398,-0.092418,-0.061937,-0.267765,1016.549561
891928,-0.20441,-0.201674,0.116325,0.909760918,0.112323163,0.081588571,-0.095405,-0.060395,-0.26769,1016.549561
892028,-0.226702,-0.193824,0.131018,0.885388163,0.123277245,0.084847245,-0.097864,-0.058788,-0.269114,1016.549561
892128,-0.243297,-0.179977,0.13851,0.858831531,0.12701051,0.084423571,-0.098317,-0.059158,-0.271639,1016.547302
892228,-0.246292,-0.151864,0.138024,0.839204286,0.126828163,0.082775102,-0.093344,-0.058763,-0.271112,1016.547302
892328,-0.231461,-0.109335,0.134962,0.82801398,0.114190408,0.074598163,-0.089268,-0.059582,-0.27616,1016.547302
892428,-0.194876,-0.063489,0.133081,0.824130612,0.088911224,0.058868061,-0.083795,-0.058198,-0.275582,1016.547302
892528,-0.154126,-0.027478,0.133241,0.826812245,0.06241102,0.038781837,-0.078728,-0.057064,-0.280027,1016.547302
892628,-0.114201,-0.02035,0.138841,0.829201122,0.044150612,0.026113571,-0.071179,-0.054997,-0.283922,1016.547302
892728,-0.089087,-0.041331,0.150592,0.832328776,0.03436398,0.022307755,-0.067199,-0.053091,-0.283319,1016.547302
